"Workout #","Date","Workout","Exercise","Set #","Reps","Weight","Unit","Muscle group","Workout duration","Link","Workout note"
"639","Mon Mar 18 2019 14:05:40 GMT+0000 (GMT)","Legs/Abs","","","","","","","3173","https://gymhero.me/@mikejmcgarry/workouts/legs-abs/26d4cbfe95764d2a84e0f51ef6ace6be","Breathing is great, didn't feel heart as much not sure if due to loud music and focusing on something else such as constantly moving or change in condition today.

Lower right back is sore, started from running to the gym. Has not worsened significant lifting weights"
"639","","Legs/Abs","Goblet Squat","1","12","44","kg","Legs","","",""
"639","","Legs/Abs","Goblet Squat","2","12","44","kg","Legs","","",""
"639","","Legs/Abs","Goblet Squat","3","12","44","kg","Legs","","",""
"639","","Legs/Abs","Stiff Leg Deadlift","1","12","95","kg","Legs","","",""
"639","","Legs/Abs","Stiff Leg Deadlift","2","12","97.5","kg","Legs","","",""
"639","","Legs/Abs","Stiff Leg Deadlift","3","8","97.5","kg","Legs","","",""
"639","","Legs/Abs","Stiff Leg Deadlift","4","4","97.5","kg","Legs","","",""
"639","","Legs/Abs","Leg Extension","1","14","105","kg","Legs","","",""
"639","","Legs/Abs","Leg Extension","2","12","105","kg","Legs","","",""
"639","","Legs/Abs","Mountain Climbers","1","1","45","-","None","","",""
"639","","Legs/Abs","Mountain Climbers","2","1","45","-","None","","",""
"639","","Legs/Abs","Bicycle","1","1","45","-","None","","",""
"639","","Legs/Abs","Bicycle","2","1","45","-","None","","",""
"639","","Legs/Abs","Plank","1","1","45","-","Abs","","",""
"639","","Legs/Abs","Plank","2","1","45","-","Abs","","",""
"638","Sat Mar 16 2019 15:07:23 GMT+0000 (GMT)","Shoulders","","","","","","","4289","https://gymhero.me/@mikejmcgarry/workouts/shoulders/43b554df3be94daa89711e0c98a68925",""
"638","","Shoulders","DB Shoulder Press","1","8","30","kg","Shoulders","","",""
"638","","Shoulders","DB Shoulder Press","2","6","30","kg","Shoulders","","",""
"638","","Shoulders","DB Shoulder Press","3","6","30","kg","Shoulders","","",""
"638","","Shoulders","Upright Barbell Rows","1","12","35","kg","Shoulders","","",""
"638","","Shoulders","Upright Barbell Rows","2","12","35","kg","Shoulders","","",""
"638","","Shoulders","Upright Barbell Rows","3","12","35","kg","Shoulders","","",""
"638","","Shoulders","Standing Side Lateral Raise","1","12","12.5","kg","None","","",""
"638","","Shoulders","Standing Side Lateral Raise","2","12","12.5","kg","None","","",""
"638","","Shoulders","Standing Side Lateral Raise","3","12","12.5","kg","None","","",""
"638","","Shoulders","Rear Machine Fly","1","14","50","kg","Shoulders","","",""
"638","","Shoulders","Rear Machine Fly","2","14","50","kg","Shoulders","","",""
"638","","Shoulders","Rear Machine Fly","3","14","50","kg","Shoulders","","",""
"638","","Shoulders","Standing Pronated DB Front Raise","1","12","10","kg","None","","",""
"638","","Shoulders","Standing Pronated DB Front Raise","2","12","10","kg","None","","",""
"638","","Shoulders","Standing Pronated DB Front Raise","3","12","10","kg","None","","",""
"638","","Shoulders","Treadmill Run","1","16","280","kg","None","","",""
"637","Fri Mar 15 2019 05:59:40 GMT+0000 (GMT)","Back & Abs","","","","","","","3560","https://gymhero.me/@mikejmcgarry/workouts/back-abs/899112fa693b4b40adc5940b8c7d3fe7",""
"637","","Back & Abs","Wide Grip Lat Pulldown (Machine Kings Cross London)","1","12","68","kg","None","","",""
"637","","Back & Abs","Wide Grip Lat Pulldown (Machine Kings Cross London)","2","12","68","kg","None","","",""
"637","","Back & Abs","Wide Grip Lat Pulldown (Machine Kings Cross London)","3","12","68","kg","None","","",""
"637","","Back & Abs","Bent Over DB Row","1","7","30","kg","Back","","",""
"637","","Back & Abs","Bent Over DB Row","2","8","30","kg","Back","","",""
"637","","Back & Abs","Bent Over DB Row","3","7","30","kg","Back","","",""
"637","","Back & Abs","Mountain Climbers","1","1","45","-","None","","",""
"637","","Back & Abs","Mountain Climbers","2","1","45","-","None","","",""
"637","","Back & Abs","Mountain Climbers","3","1","45","-","None","","",""
"637","","Back & Abs","Bicycle","1","1","45","-","None","","",""
"637","","Back & Abs","Bicycle","2","1","45","-","None","","",""
"637","","Back & Abs","Bicycle","3","1","45","-","None","","",""
"637","","Back & Abs","Plank","1","1","45","-","Abs","","",""
"637","","Back & Abs","Plank","2","1","45","-","Abs","","",""
"637","","Back & Abs","Plank","3","1","60","-","Abs","","",""
"637","","Back & Abs","Wide Grip Pullups","1","10","","kg","Back","","",""
"637","","Back & Abs","Wide Grip Pullups","2","7","","kg","Back","","",""
"637","","Back & Abs","Wide Grip Pullups","3","6","","kg","Back","","",""
"636","Wed Mar 13 2019 06:14:13 GMT+0000 (GMT)","Chest","","","","","","","3832","https://gymhero.me/@mikejmcgarry/workouts/chest/d0c6f8f80573444986c2a3fff9b27a66",""
"636","","Chest","DB Bench","1","12","80","kg","Chest","","",""
"636","","Chest","DB Bench","2","8","80","kg","Chest","","",""
"636","","Chest","DB Bench","3","6","80","kg","Chest","","",""
"636","","Chest","Incline DB Bench","1","9","32.5","kg","Chest","","",""
"636","","Chest","Incline DB Bench","2","7","32.5","kg","Chest","","",""
"636","","Chest","Incline DB Bench","3","6","32.5","kg","Chest","","",""
"636","","Chest","Machine Fly","1","12","64","kg","Chest","","",""
"636","","Chest","Machine Fly","2","12","64","kg","Chest","","",""
"636","","Chest","Machine Fly","3","12","64","kg","Chest","","",""
"636","","Chest","Perfect PushUp","1","15","","kg","None","","",""
"636","","Chest","Perfect PushUp","2","13","","kg","None","","",""
"636","","Chest","Perfect PushUp","3","13","","kg","None","","",""
"635","Tue Mar 12 2019 13:00:55 GMT+0000 (GMT)","Legs/Abs","","","","","","","3770","https://gymhero.me/@mikejmcgarry/workouts/legs-abs/fb22ac1014c34873ac2c77be0a6c798a",""
